,channelId,channelTitle,description,subscriberCount,viewCount,videoCount,brandingTitle,brandingDescription,brandingKeywords
0,UCZ7umxF5sRT5bkJQH8ZYK_g,RDF Tactics,"Hello, football managers! I'm RDF Tactics, an FM content creator and aspiring football analyst/scout. This channel is your premier source for Football Manager, tactical analysis, and FM Tactics. This channel is not just a destination for virtual football gurus but also a bridge between the digital and real football worlds. With a background at Dinamo Tbilisi, my experience in the beautiful game spans from the virtual pitch to the real one.

To contact, please email rdftactics@gmail.com
",69000,11293823,333,RDF Tactics,"Hello, football managers! I'm RDF Tactics, an FM content creator and aspiring football analyst/scout. This channel is your premier source for Football Manager, tactical analysis, and FM Tactics. This channel is not just a destination for virtual football gurus but also a bridge between the digital and real football worlds. With a background at Dinamo Tbilisi, my experience in the beautiful game spans from the virtual pitch to the real one.

To contact, please email rdftactics@gmail.com
","""rdf tactics"" ""football manager 2024"" ""fm24 tactics"" ""Football Manager"""
1,UC6z7WG1NhHhFXUUks0EY9BQ,kApps FM,"Canal dedicado al videojuego de gestión estratégica sobre fútbol ""Football Manager"". En él iré trayendo el contenido que voy haciendo en directo en la plataforma morada para que así quede para el recuerdo, además de contenido exclusivo sobre cómo jugar al juego en forma de video tutorial.

Espero que os guste lo que vaya subiendo y que juntos hagamos de este canal una gran comunidad. No olvideis suscribiros y activar la campanita!! Qué si no... no habrá final feliz!! :P! #kAppsFamily #Gorrillas
",12400,2579270,1177,kApps FM,"Canal dedicado al videojuego de gestión estratégica sobre fútbol ""Football Manager"". En él iré trayendo el contenido que voy haciendo en directo en la plataforma morada para que así quede para el recuerdo, además de contenido exclusivo sobre cómo jugar al juego en forma de video tutorial.

Espero que os guste lo que vaya subiendo y que juntos hagamos de este canal una gran comunidad. No olvideis suscribiros y activar la campanita!! Qué si no... no habrá final feliz!! :P! #kAppsFamily #Gorrillas
","Fm ""fm 2025"" 2025 ""football manager"" football manager ""futbol manager 2025"" futbol español ""fm 2025 online"" ""fm 2025 español"" ""football manager 2025 español"" ""fm 2025 online español"" ""football manager online 2025 español"" ""fm español"" ""football manager español"" kapps ""modo carrera"" ""modo carrera fm 25"" ""fm mundo real"" ""fm 25 mundo real"" ""fm original"" ""fm 25 carrera"" ""fm 25 partida online"" ""fm 25 online"" ""fm 25 draft"" ""fm 25 draft fantasía"" ""fm 25 cara a cara"""
2,UCCeR7BtDUauD9jlVT67epTg,DoctorBenjy FM,"Football Manager Youtuber and Streamer


",113000,53412230,2465,DoctorBenjy FM,"Football Manager Youtuber and Streamer


","FM23 DoctorBenjy DoctorBenjyFM ""Glory Hunter"" ""Football Manager"" ""DoctorBenjy Football Manager"" ""FM Streamer Showdown"" Salford Parma Thames"
3,UCuHPOsfauzzZtpu_Y91687A,Hood Gaming,"On Hood Gaming, you will be able to find Football Manager 2024 guides, wonderkid videos, the best FM24 tactics and rebuild challenges. 

𝘼𝙗𝙤𝙪𝙩 𝙈𝙚

I have always made content throughout my professional career, however, it has always been for someone else. In May 2020 I decided that it was time to create something for myself. Football Manager has always been a game that I have loved so wanted to take this opportunity to share some of the tips and tricks that I've learnt!
",39200,10114864,1316,Hood Gaming,"On Hood Gaming, you will be able to find Football Manager 2024 guides, wonderkid videos, the best FM24 tactics and rebuild challenges. 

𝘼𝙗𝙤𝙪𝙩 𝙈𝙚

I have always made content throughout my professional career, however, it has always been for someone else. In May 2020 I decided that it was time to create something for myself. Football Manager has always been a game that I have loved so wanted to take this opportunity to share some of the tips and tricks that I've learnt!
","""Hood Gaming"" ""Hood Gaming UK"" ""Hood Gaming FM"" ""Hood Gaming FM24"" FM24 ""Football Manager 2024"" ""FM24 Tactics"" ""FM24 GYR Tactics"" ""Football Manager 2024 Tactics"" ""FM24 Rebuild"" ""Football Manager Rebuilds"" ""FM24 Tips & Tricks"" ""FM24 Weston Super Mare"" ""FM24 Live Stream"" ""Football Manager Live Stream"""
5,UC7BbOekYYnfJtGjIYsh_yWw,Second Yellow Card,New Football Manager 2023 videos every single week! Did you ever use to make your sims swim and then remove the ladder? Yeah I do that for Football Manager,64700,15080490,2315,Second Yellow Card,New Football Manager 2023 videos every single week! Did you ever use to make your sims swim and then remove the ladder? Yeah I do that for Football Manager,"""football manager"" football gaming fm ""football manager 2022"" fm22"
6,UC6MamJPUYNb-A3-ye0vExSQ,JC Manager - Football Manager en Español,"Fanáticos de FOOTBALL MANAGER en ESPAÑOL, Tutoriales, Tácticas, Guías, Consejos, Trucos, recomendaciones de Wonderkids y los Mejores Jugadores de FM24, todo lo que Necesitas saber de Football Manager lo tienes AQUÍ, tienes que SUSCRIBIRTE.
Fifa, Pro Evolution Soccer, Top Eleven Manager,... hay muchos videojuegos de fútbol, pero para nosotros el Mejor Videojuego de fútbol es Football Manager, nada como FM para dirigir y gestionar un equipo de fútbol de manera virtual. 
",14400,2442780,508,JC Manager - Football Manager en Español,"Fanáticos de FOOTBALL MANAGER en ESPAÑOL, Tutoriales, Tácticas, Guías, Consejos, Trucos, recomendaciones de Wonderkids y los Mejores Jugadores de FM24, todo lo que Necesitas saber de Football Manager lo tienes AQUÍ, tienes que SUSCRIBIRTE.
Fifa, Pro Evolution Soccer, Top Eleven Manager,... hay muchos videojuegos de fútbol, pero para nosotros el Mejor Videojuego de fútbol es Football Manager, nada como FM para dirigir y gestionar un equipo de fútbol de manera virtual. 
","""football manager español"" ""football manager 2023 español"" ""football manager en español"" ""football manager 2023 en español"" ""fm23 español"" ""fm23 en español"" jcmanager ""jc manager"" ""fm23 españa"" ""football manager 2023 pc"" ""football manager para principiantes"" ""novedades football manager 2023"" ""tráiler fm23"" ""anuncio fm23"" ""lanzamiento football manager 2023"" ""licencias fm23"" ""fecha fm23"" ""tutorial football manager"" ""guía football manager"" ""wonderkids football manager"" ""novedades football manager"""
7,UCQw8SC9rns1YZLh1xuog9yQ,Vrc,"Pasjonat i hobbysta z amatorskim kanałem, sponsorowany przez popcorn solony i piwo z otwartych kadzi. Kocham Football Managera, nagrywam Football Managera, gram w Managery od 1995. FootballManagerianizm moją religią. 

Oprócz FM'a dorzucam inne piłkarskie managery, gry sportowe i każualowe granko.

Zawartość kanału:

1. Kariery w Football Manager
2. Poradniki do Football Managera
3. Eksperymenty różnej maści z użyciem edytora
4. Historia piłki nożnej
5. Serie z innych gier sportowych.
6. Baldury, Fallouty, Wiedźminy i Star Warsy.
7. Gry strategiczne i RPG.

Usuwam komentarze wulgarne, chamskie i obrażające innych. Banuje za natarczywy spam i ubliżanie.

Pozdrawiam!",19100,6373641,2955,Vrc,"Pasjonat i hobbysta z amatorskim kanałem, sponsorowany przez popcorn solony i piwo z otwartych kadzi. Kocham Football Managera, nagrywam Football Managera, gram w Managery od 1995. FootballManagerianizm moją religią. 

Oprócz FM'a dorzucam inne piłkarskie managery, gry sportowe i każualowe granko.

Zawartość kanału:

1. Kariery w Football Manager
2. Poradniki do Football Managera
3. Eksperymenty różnej maści z użyciem edytora
4. Historia piłki nożnej
5. Serie z innych gier sportowych.
6. Baldury, Fallouty, Wiedźminy i Star Warsy.
7. Gry strategiczne i RPG.

Usuwam komentarze wulgarne, chamskie i obrażające innych. Banuje za natarczywy spam i ubliżanie.

Pozdrawiam!",
8,UCuwR0CsOR5SST2BtclXbvGg,Evidence Based Football Manager,"Football Manager based on evidence, the whole evidence and nothing but the evidence",18000,692966,61,Evidence Based Football Manager,"Football Manager based on evidence, the whole evidence and nothing but the evidence",
9,UCKvJ62LDqb3uhQaqOzkkqVg,Chroo,"I make fictional football stories

Business inquiries currently n/a
",87100,11078900,143,Chroo,"I make fictional football stories

Business inquiries currently n/a
","soccer football ""video essay"" FIFA sports ""ea sports"" ""soccer comedy"" ""football comedy"" ""football manager"""
10,UCwEexRRE4tRrHKFfF5z1kGw,LucullusGames,"Ciao,
Mi chiamo Alessandro e gioco principalmente a videogame calcistici: Football Manager, Fifa e Pes. Adoro soprattutto la serie di Football Manager che tratto qui su Youtube a 360 gradi con Guide, Tutorial, Tattiche, Serie (finora trovate le playlist del Chievo su FM19, Cagliari su FM20, Bilbao su FM20), Esperimenti tutti realizzati da me. 
Il mio approccio a FM è decisamente competitivo, sono stato il primo italiano (tra i vari content creator) a vincere il Journeyman (una delle modalità di gioco più ostiche), e il primo italiano a portare su Youtube il concetto di Challenge su FM (tipico del mondo anglosassone), ovvero sfide difficili che impongono di vincere trofei specifici in un numero di stagioni limitate, rispettando regole rigorosissime.
Il mio obiettivo è provare a diventare uno dei migliori giocatori di Football Manager sul panorama mondiale.",20400,6418993,928,LucullusGames,"Ciao,
Mi chiamo Alessandro e gioco principalmente a videogame calcistici: Football Manager, Fifa e Pes. Adoro soprattutto la serie di Football Manager che tratto qui su Youtube a 360 gradi con Guide, Tutorial, Tattiche, Serie (finora trovate le playlist del Chievo su FM19, Cagliari su FM20, Bilbao su FM20), Esperimenti tutti realizzati da me. 
Il mio approccio a FM è decisamente competitivo, sono stato il primo italiano (tra i vari content creator) a vincere il Journeyman (una delle modalità di gioco più ostiche), e il primo italiano a portare su Youtube il concetto di Challenge su FM (tipico del mondo anglosassone), ovvero sfide difficili che impongono di vincere trofei specifici in un numero di stagioni limitate, rispettando regole rigorosissime.
Il mio obiettivo è provare a diventare uno dei migliori giocatori di Football Manager sul panorama mondiale.","videogames pc recensioni lucullusgames icniVadoDraNoël ""video recensione"" ""microsoft windows"" steam videogiochi videorecensioni ""football manager"" fm24 ""football manager 2024"" carriera ""carriera allenatore"" guide tutorial rebuild experiment tattiche ""moduli fm"" calcio fm25 ""football manager 2025"""
