video_id,channelTitle,title,description,tags,publishedAt,viewCount,likeCount,favouriteCount,commentCount,duration,definition,caption,channelId,publishDayName,numeric_duration,publish_day_name,LikeRatio,CommentRatio
EX7kQ7HUVuo,Manny Plus,£1000 FM FANTASY DRAFT! The BEST FM Draft Teams EVER! 🤩💰 (Football Manager 2022),"Football Manager 2022 Fantasy Draft
WATCH LIVE: https://www.twitch.tv/ofmanny

Instagram: https://www.instagram.com/manny/​
Twitter: https://twitter.com/Manny_Official​
My Capture Device: http://e.lga.to/manny","[football manager, fm 2022, football manager 2022, fm 22 draft, football manager 2022 draft, draft, manny, manny plus, mandem, doctorbenjyfm]",2022-04-27 10:00:07-07,60866.0,1280.0,,30.0,PT48M6S,hd,false,UCVzKJvNg6RAtwAwIJ9tflng,,2886.0,Wednesday,21.029803174185915,0.4928860118949824
QuEwT_qpFIE,Manny Plus,WORLD CUP 2006!! WHO WILL TAKE IT HOME?🏆 #7 (Football Manager 2022),"WORLD CUP 2006 On Football Manager 2022!
WATCH LIVE: https://www.twitch.tv/ofmanny

Instagram: https://www.instagram.com/manny/​
Twitter: https://twitter.com/Manny_Official​
My Capture Device: http://e.lga.to/manny","[fm, football manager, footbal manager 2022, football manager 22, fm 22, manny, manny plus, Fm 22 world cup, online save, fm 22 online save, football manager world cup]",2022-07-29 09:00:27-07,9516.0,240.0,,3.0,PT28M12S,hd,false,UCVzKJvNg6RAtwAwIJ9tflng,,1692.0,Friday,25.220680958385877,0.31525851197982346
bINGIBfYtdY,Manny Plus,RED CARD IN EVERY MATCH!!🔴 #2 [03-04 SAVE] (Football Manager 2022),"Red Card In Every Match On Football manager 2022!
WATCH LIVE: https://www.twitch.tv/ofmanny

Instagram: https://www.instagram.com/manny/​
Twitter: https://twitter.com/Manny_Official​
My Capture Device: http://e.lga.to/manny","[football manager, fm, football manager 2021, football manager 2022, fm 22, football manager 2022 tactics]",2022-07-15 08:00:26-07,13382.0,345.0,,12.0,PT43M9S,hd,false,UCVzKJvNg6RAtwAwIJ9tflng,,2589.0,Friday,25.780899716036465,0.8967269466447467
mJRUtdfYy8U,Zealand,Six Wild Save Ideas for FM20,"The same old saves can get boring after a while, why not try something truly original for FM20! From Timor-Leste to riffs on the San Marino challenge, Dodgee has you covered.

He looks at what makes football manager fun to play - then puts together potential challenges that you can tailor to where and how you like to play.

-----------------------------------------------------------------------------------

Visit FMBase for more info:
WEBSITE ► https://fm-base.co.uk/
TWITTER ► https://twitter.com/fmbase
DISCORD ► https://discord.gg/JkyNauc

-----------------------------------------------------------------------------------

Check out what else Dodgee has to offer:
YOUTUBE ► https://www.youtube.com/c/dodgeegamer
TWITTER ► https://twitter.com/DodgeeGamer
'International manager of mystery playlist' ► https://www.youtube.com/playlist?list=PLt-WMZlCN3GotmV1nXGF2CqtxXA5mPFfz

-----------------------------------------------------------------------------------

Thanks for watching and scrolling!

#FootballManager #Gaming #Hashtags","[Football Manager, FM, Football Manager 2020, FM20, Guide, Gaming, FM2020, Save Ideas, FMBase, FMBase Youtube, workthespace, drbenjy, FM Scout, foxinthebox]",2019-10-10 07:25:27-07,15695.0,263.0,,21.0,PT9M7S,hd,false,UC0sHHy5A8VUTHE_ysXeCO2Q,,547.0,Thursday,16.756928958266965,1.3380057343102898
jRW4QSA8sDM,Manny Plus,FIRST MANAGER SACKED! £2000 FM LEAGUE WINNER TAKES ALL #3,"WATCH LIVE:
https://www.twitch.tv/ofmanny

SOCIALS:
https://twitter.com/Manny_Official​​
https://www.instagram.com/manny/​​

MANNY CLIPS:
 / @mannyclips  

#footballmanager #winnertakesall #wta","[manny, winner takes all, WTA, fm network save, football manager, fm24, fm 24, football manager 24, mandem save, zims, zimsmula, viz, vizualizah]",2024-10-09 12:30:03-07,46829.0,1308.0,,72.0,PT52M50S,hd,false,UCVzKJvNg6RAtwAwIJ9tflng,,3170.0,Wednesday,27.93141002370326,1.5375088086442161
Z897VkIng6U,Manny Plus,PREM CALLING?! DO I STAY OR GO? FM 2024 #6,"WATCH LIVE:
https://www.kick.com/manny​​

SOCIALS:
https://twitter.com/Manny_Official​​
https://www.instagram.com/manny/​​

MANNY CLIPS:
 / @mannyclips  

#fm24",,2023-12-06 11:00:16-08,41621.0,945.0,,43.0,PT19M24S,hd,false,UCVzKJvNg6RAtwAwIJ9tflng,,1164.0,Wednesday,22.704884553470603,1.0331323130150645
eRJHvk3SbWI,Manny Plus,Can A Team Of Youtubers Win Their First Trophy?!,"WATCH LIVE:
https://www.twitch.tv/ofmanny

SOCIALS:
https://twitter.com/Manny_Official​​
https://www.instagram.com/manny/​​

MANNY CLIPS:
 / @mannyclips  

#fm24",,2024-07-05 08:00:43-07,11988.0,369.0,,11.0,PT26M19S,hd,false,UCVzKJvNg6RAtwAwIJ9tflng,,1579.0,Friday,30.78078078078078,0.9175842509175843
yBubvZXqndI,Ataberk Doğan,TRANSFER SEZONU AÇILDI!!! WEST HAM KARİYERİ S7B31 FİNALE DOĞRU | ATABERK DOĞAN,"Herkese merhaba arkadaşlar ben Ataberk doğan, bu videoda FM24 WEST HAM UNITED KARİYERİ'ne kaldığımız yerden devam ediyoruz. Yeni transferlerle kadromuzu güçlendirdik!! Keyifli seyirler💝

Videoyu beğenmeyi  👍  |  🔔 Kanala abone olup bildirimleri açmayı unutmayın.  💝

Yayınları takip etmek için 》https://kick.com/atadogann

⬇ SOSYAL MEDYA HESAPLARIM ⬇
 Kick 》https://kick.com/atadogann
 Instagram 》https://www.instagram.com/ataberk.dogan
 Twitch 》https://www.twitch.tv/atadogann
 Discord 》https://discord.gg/ataberkdogan
 X 》https://twitter.com/atadogann
Takip etmeyi unutmayın. 💝
📧  Reklam & İş Birliği  👉  merve@bbl.co",,2024-09-11 11:00:31-07,5325.0,162.0,,16.0,PT1H3M48S,hd,false,UCenmkBehf4szi5V-O6EoMaQ,,3828.0,Wednesday,30.422535211267604,3.004694835680751
ZNmQPfQgrYU,Ataberk Doğan,ELVEDA ANTALYASPOR!! İNGİLTERE DEVİNDEN TEKLİF VAR!! | ANTALYASPOR KARİYERİ FİNAL S5B23,"Herkese merhaba arkadaşlar ben Ataberk doğan, bu videoda FM24 kariyerimizin Antalyaspor basamağında sona gelip yeni takımımıza ilk bakış atıyoruz. Keyifli seyirler :)

Videoyu beğenmeyi  👍  |  🔔 Kanala abone olup bildirimleri açmayı unutmayın.  💝

Yayınları takip etmek için 》https://kick.com/atadogann

⬇ SOSYAL MEDYA HESAPLARIM ⬇
 Kick 》https://kick.com/atadogann
 Instagram 》https://www.instagram.com/ataberk.dogan
 Twitch 》https://www.twitch.tv/atadogann
 Discord 》https://discord.gg/ataberkdogan
 X 》https://twitter.com/atadogann
Takip etmeyi unutmayın. 💝
📧  Reklam & İş Birliği  👉  merve@bbl.co","[ataberk doğan, ataberk, doğan, ataberk doğan fm, ataberk doğan fm kariyeri, fm kariyeri, fm 24, fm 24 kariyeri, ataberk doğan antalyaspor kariyeri, antalyaspor kariyeri, antalyaspor, antalya, ataberk doğan futbol, ataberk doğan fm 24, ataberk doğan fm kariyer, ataberk doğan fm 24 kariyer, ataberk doğan fm 24 kariyeri, fm ataberk doğan, fm, ataberk doğan kariyer, ELVEDA ANTALYASPOR!! İNGİLTERE DEVİNDEN TEKLİF VAR!! | ANTALYASPOR KARİYERİ FİNAL S5B23]",2024-08-24 09:06:16-07,7972.0,214.0,,9.0,PT2H57M58S,hd,false,UCenmkBehf4szi5V-O6EoMaQ,,10678.0,Saturday,26.84395383843452,1.1289513296537883
zu7EtBl2btU,Ataberk Doğan,ANTALYASPOR İŞİ GÖNÜL İŞİ ! | FM24 ANTALYASPOR KARİYERİ S5B21 | ATABERK DOĞAN,"Herkese merhaba arkadaşlar ben Ataberk doğan, bu videoda FM24 Antalyaspor kariyerine devam ediyoruz. Keyifli seyirler..

Videoyu beğenmeyi  👍  |  🔔 Kanala abone olup bildirimleri açmayı unutmayın.  💝

Yayınları takip etmek için 》https://kick.com/atadogann

⬇ SOSYAL MEDYA HESAPLARIM ⬇
 Kick 》https://kick.com/atadogann
 Instagram 》https://www.instagram.com/ataberk.dogan
 Twitch 》https://www.twitch.tv/atadogann
 Discord 》https://discord.gg/ataberkdogan
 X 》https://twitter.com/atadogann
Takip etmeyi unutmayın. 💝
📧  Reklam & İş Birliği  👉  merve@bbl.co","[ataberk, doğan, ataberk doğan, kick, stream, streamer, fm24, antalyaspor, kariyer, süperlig]",2024-08-22 06:00:06-07,4418.0,143.0,,9.0,PT1H55M36S,hd,false,UCenmkBehf4szi5V-O6EoMaQ,,6936.0,Thursday,32.367587143503854,2.037120869171571
