channelId,channelTitle,description,subscriberCount,viewCount,videoCount,brandingTitle,brandingDescription,brandingKeywords,channel_url,keyword_list,kword_list_length,language,country
UCanvn-ZdqKp9GiwVkHSHL_A,Moneyball_FM,"📈 #FootballManager24 | No soy Brad Pitt, dejad de preguntar.",1220,46692,80,Moneyball_FM,"📈 #FootballManager24 | No soy Brad Pitt, dejad de preguntar.","Moneyball Moneyball_fm footballmanager24 ""football manager"" fm24 ""road to glory"" reconstruyendo ""tutorial fm"" fmscout fmsite fmspain bigdata analisis ""analisis tactico"" tactica",https://www.youtube.com/channel/UCanvn-ZdqKp9GiwVkHSHL_A,"[Moneyball, Moneyball_fm, footballmanager24, football manager, fm24, road to glory, reconstruyendo, tutorial fm, fmscout, fmsite, fmspain, bigdata, analisis, analisis tactico, tactica]",15,no,ES
UCZ7umxF5sRT5bkJQH8ZYK_g,RDF Tactics,"Hello, football managers! I'm RDF Tactics, an FM content creator and aspiring football analyst/scout. This channel is your premier source for Football Manager, tactical analysis, and FM Tactics. This channel is not just a destination for virtual football gurus but also a bridge between the digital and real football worlds. With a background at Dinamo Tbilisi, my experience in the beautiful game spans from the virtual pitch to the real one.

To contact, please email rdftactics@gmail.com
",69100,11319687,334,RDF Tactics,"Hello, football managers! I'm RDF Tactics, an FM content creator and aspiring football analyst/scout. This channel is your premier source for Football Manager, tactical analysis, and FM Tactics. This channel is not just a destination for virtual football gurus but also a bridge between the digital and real football worlds. With a background at Dinamo Tbilisi, my experience in the beautiful game spans from the virtual pitch to the real one.

To contact, please email rdftactics@gmail.com
","""rdf tactics"" ""football manager 2024"" ""fm24 tactics"" ""Football Manager""",https://www.youtube.com/channel/UCZ7umxF5sRT5bkJQH8ZYK_g,"[rdf tactics, football manager 2024, fm24 tactics, Football Manager]",4,en,GB
UCe_heL31hYCMDOdxn-g12GQ,Avgdad,"Overthinking Football Manager, one illogical step at a time and hopefully flattening that difficulty curve just a little bit! This channel is all about the religion, er, video game that is the Football Manager series, going through various aspects of it in detail and with a realism bias rather than anything meta.",6100,406418,26,Avgdad,"Overthinking Football Manager, one illogical step at a time and hopefully flattening that difficulty curve just a little bit! This channel is all about the religion, er, video game that is the Football Manager series, going through various aspects of it in detail and with a realism bias rather than anything meta.","",https://www.youtube.com/channel/UCe_heL31hYCMDOdxn-g12GQ,[],0,en,DE
UC-rJ_c0v5_rhoiRMT8ZlO1w,The Cult of FM,"Jack, 30, UEFA B Licenced coach.
Match Engine team @ Sports Interactive - Football Manager.

Personal Channel 
All views are my own
",8950,856754,363,The Cult of FM,"Jack, 30, UEFA B Licenced coach.
Match Engine team @ Sports Interactive - Football Manager.

Personal Channel 
All views are my own
","",https://www.youtube.com/channel/UC-rJ_c0v5_rhoiRMT8ZlO1w,[],0,en,GB
UCKvJ62LDqb3uhQaqOzkkqVg,Chroo,"I make fictional football stories

Business inquiries currently n/a
",87100,11087394,143,Chroo,"I make fictional football stories

Business inquiries currently n/a
","soccer football ""video essay"" FIFA sports ""ea sports"" ""soccer comedy"" ""football comedy"" ""football manager""",https://www.youtube.com/channel/UCKvJ62LDqb3uhQaqOzkkqVg,"[soccer, football, video essay, FIFA, sports, ea sports, soccer comedy, football comedy, football manager]",9,en,CA
UCweQWM-qFtnH3sQREaWI9Dg,FM Guru Replay,"⚽ Chaine de Replay des Lives Twitch de FM Guru

●▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬●

👔 ► Ma Chaine Principale : https://www.youtube.com/@FM_Guru
🐦 ► Mon Twitter : https://twitter.com/FM_Guru88
🎮 ► Mon Discord où je partage tous mes fichiers : https://discord.gg/aAPHK9S
📺 ► Mon Twitch où je stream régulièrement mes carrières FM : https://twitch.tv/FM_Guru",1460,115331,115,FM Guru Replay,"⚽ Chaine de Replay des Lives Twitch de FM Guru

●▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬●

👔 ► Ma Chaine Principale : https://www.youtube.com/@FM_Guru
🐦 ► Mon Twitter : https://twitter.com/FM_Guru88
🎮 ► Mon Discord où je partage tous mes fichiers : https://discord.gg/aAPHK9S
📺 ► Mon Twitch où je stream régulièrement mes carrières FM : https://twitch.tv/FM_Guru","""FM Guru"" FM_Guru Guru FM ""Football Manager"" FM24 FM23 FM22 ""Football Manager 2024"" ""Football Manager 2022"" ""Football Manager 2023"" Replay Twitch FMGuruReplay ""FM_Guru Replay""",https://www.youtube.com/channel/UCweQWM-qFtnH3sQREaWI9Dg,"[FM Guru, FM_Guru, Guru, FM, Football Manager, FM24, FM23, FM22, Football Manager 2024, Football Manager 2022, Football Manager 2023, Replay, Twitch, FMGuruReplay, FM_Guru Replay]",15,fr,FR
UC0XxZhHJT_VBc-szLoy3Imw,Jonukas,"Haaland im Saarland, Transfersperren, Rebuilds und ganz viel Football Manager. ",38000,7499286,168,Jonukas,"Haaland im Saarland, Transfersperren, Rebuilds und ganz viel Football Manager. ","",https://www.youtube.com/channel/UC0XxZhHJT_VBc-szLoy3Imw,[],0,de,DE
UCO3AJGFCk2fnB_P6RnwzSog,WorkTheSpace,Daily Football Manager 2024 videos full of tangents and god-awful pronunciations. On YouTube my job is pretending to do a much more serious job in an entertaining manner... Sometimes it goes well.,211000,86429351,3272,WorkTheSpace,Daily Football Manager 2024 videos full of tangents and god-awful pronunciations. On YouTube my job is pretending to do a much more serious job in an entertaining manner... Sometimes it goes well.,"""Football Manager"" ""Football Manager 2020"" FM20 Gameplay Commentary tips tricks guide tactics wonderkids shortlist download graphics ""sports interactive"" football manager ""premier league""",https://www.youtube.com/channel/UCO3AJGFCk2fnB_P6RnwzSog,"[Football Manager, Football Manager 2020, FM20, Gameplay, Commentary, tips, tricks, guide, tactics, wonderkids, shortlist, download, graphics, sports interactive, football, manager, premier league]",17,en,GB
UCNL-PktThtkU9V9mUSA6_xw,Arthur Ray,"Coach sur Football Manager, j'aime partager avec vous mes carrières, mais aussi des tutos et surtout des bon moments ! 
J'aime aussi quitter mon costume d'entraineur et découvrir d'autres jeux ! 

●▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬●

❤️ ► Abonne-toi 

🐤 ► Suis-moi sur Twitter: https://twitter.com/rayurart
👾 ► Rejoins moi en live sur Twitch : https://www.twitch.tv/ArthurRay
✉️ ► Contact Pro : Arthurray@20ty.gg

●▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬●",96600,33469248,3209,Arthur Ray,"Coach sur Football Manager, j'aime partager avec vous mes carrières, mais aussi des tutos et surtout des bon moments ! 
J'aime aussi quitter mon costume d'entraineur et découvrir d'autres jeux ! 

●▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬●

❤️ ► Abonne-toi 

🐤 ► Suis-moi sur Twitter: https://twitter.com/rayurart
👾 ► Rejoins moi en live sur Twitch : https://www.twitch.tv/ArthurRay
✉️ ► Contact Pro : Arthurray@20ty.gg

●▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬●",arthur ray fm divinity original sin story fm20 fm2020,https://www.youtube.com/channel/UCNL-PktThtkU9V9mUSA6_xw,"[arthur, ray, fm, divinity, original, sin, story, fm20, fm2020]",9,fr,FR
UCths1iEM2el3CNT8OspCqjQ,Football Manager Data Lab,Enhance Your Football Manager Experience With Our Player Analysis Tool. Make Informed Transfer & Squad Decisions. Your Hub For All FM Insights. #FootballManager,2130,125157,9,Football Manager Data Lab,Enhance Your Football Manager Experience With Our Player Analysis Tool. Make Informed Transfer & Squad Decisions. Your Hub For All FM Insights. #FootballManager,"""Football Manager"" ""Football Manager 24"" ""Football Manager 2024"" ""Football Manager Data"" ""Football Manager Code"" ""Football Manager Roles"" ""Football Manager Role Scores"" fm fm24 ""Football Manager Recruitment"" ""Football Manager Scouting"" ""Football Manager Shortlist"" ""Football Manager Best Players"" ""Football Manager Wonderkids"" ""Football Manager Bargains"" ""Football Manager Statistics"" FMDataLab ""Football Manager Data Lab""",https://www.youtube.com/channel/UCths1iEM2el3CNT8OspCqjQ,"[Football Manager, Football Manager 24, Football Manager 2024, Football Manager Data, Football Manager Code, Football Manager Roles, Football Manager Role Scores, fm, fm24, Football Manager Recruitment, Football Manager Scouting, Football Manager Shortlist, Football Manager Best Players, Football Manager Wonderkids, Football Manager Bargains, Football Manager Statistics, FMDataLab, Football Manager Data Lab]",18,en,GB
